dead
MASON
MASSIDDA
MASTEMA
MATELDA
MATTARA
MAXIA
MEA
MENECH
MENIS
MENON
MENTIL
MEOT
MERET
MERI
MEROI
MESAGLIO
METUS
MEULLI
MIAN
MIANI
MIATTO
MICCO
MICOLIS
MIDENA
MILOCCO
MILVI
MINEN
MININ
MINISINI
MINKA
MIOLLI
MION
MIOTTO
MIRAI
MIRIA
MIRNA
MIRO
MIRTA
MISSANA
MISSIO
MITRI
MIWA
MIZZA
MIZZAU
MOLETTA
MOMI
MONAI
MORAS
MOSELE
MOSSENTA
MOVIO
MUCIN
MUNER
MUNI
MUSSAP
MUSSIO
MUSTO
MUTTON
MYRON
NAIT
NAMES
NANINI
NAVISSE
NAZZI
NELDA
NELI
NELSA
NICLI
NIDA
NILLO
NILO
NIN
NININO
NIVA
NOACCO
NOLGI
NONESSO
NORBEDO
NORINA
NORINO
NORO
NOT
NUCIFORO
NUSSIO
OBUEL
ODERO
ODILLA
ODILLO
ODO
ODO
OLVINO
OPERTI
ORO
ORTIS
OSSO
OVAN
PACCO
PAGURA
PALLAMIN
PANNI
PARAVANO
PARON
PARONI
PASTRO
PATAT
PATATTI
PATINI
PAVAN
PAVONA
PELA
PENZ
PERABO
PERLI
PERS
PESSA
PETTA
PEZ
PIANI
PICCO
PICILI
PIGANI
PIGO
PILO
PIN
PINAT
PINES
PINOSA
PIRAS
PIRONA
PITTIA
PIU
PIUSSI
PIUTTI
PIVA
PLAINO
PLATTA
PLETT
PLOS
PLOZZER
POL
POLI
POLLA
POLON
PONTA
PRAMPARO
PRATAMA
PREM
PRETTO
PREZ
PRONK
PULINA
PULLER
PUNTIL
PUPIN
PUPPIN
PUPPO
QUAI
QUAINO
QUAL
QUALLA
QUAZZO
QUENDOLO
QUOS
RABER
RADINA
RAILZ
RAINIS
RAMEY
RASSATI
REGIS
RENNA
RIGGI
RIGO
RITO
RIULI
RIVA
RIVO
RIZ
ROCA
RONDO
ROPPA
ROPPA
ROSSIT
RUARO
RUI
RUPIL
RUTAR
SABATA
SABBATA
SABUCCO
SAEZ
SAFFIGNA
SALBEGO
SALVE
SAMERO
SANGOI
SANNA
SANT
SANTE
SAPPA
SARO
SASSANO
SAVA
SAVOCA
SBRIZZAI
SCAINO
SCAREL
SCELZO
SCHENA
SCHIFF
SCHIFFO
SCLABAS
SCLABI
SCLIP
SCLOSA
SCOLZ
SCRUZZI
SCUBLA
SCUSSA
SECHI
SEDOLA
SEFFINO
SEGATTI
SEGER
SEKI
SELENATI
SELLO
SESMA
SESSI
SGOBARO
SGUBIN
SIBAU
SICA
SICCO
SIEGA
SIGURA
SIMIZ
SINA
SINICCO
SIOPY
SIRA
SNIDARO
SOLDA
SOLIDEA
SOMEDA
SONEGO
SORAMEL
SORAVIA
SOSTERO
SPECCO
SPELAT
STACOLA
STEL
STELIO
STIORE
STOCCO
STUA
STURAM
STURLI
SUCIU
SUDERO
SUERZ
TACCO
TADINAC
TAFURI
TAM
TAMI
TAMOS
TAMUSSIN
TARCHI
TARONDO
TARONI
TARRA
TAVARS
TECLA
TEIA
TELLES
TERLICHER
TESSER
THEMEL
TIBALDO
TILATTI
TIMEUS
TION
TIRONE
TISO
TITTON
TODON
TOLAZZI
TOLIN
TOLLON
TOMADA
TOMAT
TONERO
TOROSSI
TOSO
TRAUNERO
TRAVAN
TREPPO
TROI
TROPAN
TRUPIA
TUAN
TUBARO
TUCCIO
TUIS
TULIS
TULISSI
TUNIZ
TURRI
TUTI
TUTTINO
TUZZI
ULIAN
UPTON
URLI
VALARSA
VALDI
VALIDA
VALLE
VALLISI
VALNEA
VALNEO
VALOPPI
VANIA
VANZO
VARIOLO
VASA
VATRI
VATTOLO
VEGGIA
VELICAZ
VELLO
VELLO
VENICA
VENZO
VERILLI
VEZZIO
VIANI
VIANO
VIDALE
VIDIC
VIEZZI
VILLIS
VISSA
VIT
VORA
VORANO
VRILLE
VUANO
WALKINIA
WAMEGO
WEDAM
ZAGHIS
ZAINA
ZAIRA
ZAMARO
ZAMO
ZAMOL
ZAMOLO
ZANIER
ZANITTI
ZANOR
ZARDO
ZATTI
ZEMIRA
ZILIO
ZILLI
ZITA
ZOF
ZOLLI
ZOPPE
ZOTTI
ZOTTIG
ZUANEL
ZUCCO
ZUODAR
ZUPPEL
ZURCO
ZURI
ZURINI
ZURRO
ZUZZI
MARIGO
BON
DISSABO
LENNA
NILLA
COIZ
BURI
CLAUTI
VERATTI
CORINA
BIBBO
SATO
NIERO
MARIGO
LEDI
NIERO
MARIGO
EGONE
SLOBBE
BOVO
GINELDA
MODOTTO
BREZZI
REVEL
LUALDI
RUTTAR
FREGUIA
AVAGLIO
NININ
BALUTTO
STANIG
COAN
COAN
BASSI
COAN
BALLIN
VANÌ
ZONTA
SCARMI
INO
CIDIN
SCARMI
INO
GRAFFI
ANESI
CHIABAI
ANESI
DASSI
DESTE
NADAI
VRIZ
SEGAT
VRIZ
ELIDO
PAPA
ZONTA
VRIZ
MONEGO
ZAMERO
GIABBAI
EDDO
SILIANO
ZAMERO
PALI
CHIABAI
TOCH
PASUT
PIGOZZO
PUCCHIO
EFREM
PERCO
CAPRIA
SEDRAN
DEANO
PERCO
ILLA
TUREL
EROL
BERNAVA
LUCH
BALDEA
EROL
SZULIN
ANZIL
RASOLO
SZULIN
ELITA
SAVIAN
ALLOI
ORZAN
SAL
RAMA
ERMI
CEFIS
DALMA
VOLTAN
SAL
CEFIS
CEFIS
ERMI
VOLTAN
SIRO
LANFRIT
PUNTEL
EBNER
RASSAT
POLANO
BAREI
RASSAT
CELLA
REDI
REDI
MIOLO
ALBON
DALT
MARIN
DALT
ALBON
CUCIZ
BUDA

WALLY
FACCIO
FRARI
NEDDA
FRARI
FEDEL
ALFEO
FEDEL
MURTAS
CILIA
KAMMLER
ARIANI
VUAN
MADY
ZORDO
TATTO
TATTO
ROZZI
TATTO
IANNIS
VRIZZI
ERNA
ERNA
MALAMAN
ZIRONE
BOBAZ
BIVI
BOBAZ
BOZZO
TASSI
ROLD
ENEO
BOBAZ
BIVI
ROLD
ROLD
MILEI
ZUIN
COLIN
MILEI
MILEI
ZUIN
ZOLI
TACUS
VIEDO
ZULA
VIEDO
ALBIS
ZOLI
RITTA
BAND
VINADIO
ELVA
URIONI
MAGNIS
DALINDA
BERINI
BARDUS
STALIS
FRATUS
SIONE
TREBBI
ISA
RAFFIN
NEVA
GRIDEL
AROLDA
BRAIDA
ADINA
SCOZZAI
CHIUCH
TASSILE
SUDARO
CENDON
BUREL
FATTOR
FINOS
NENIS
PRADAL
CLEVA
SERODINE
ANZILE
ANNY
ZERMAN
GIOLO
LARTI
VARALDO
PALMAN
SPIVACH
MIRRA
BELFIO
BERRA
GASTEL
NUZZI
CURTI
TELL
ODILO
VALT
RIEDL
DOLINA
GORZA
BODIGOI
KEIL
CAFFI
FINA
COS
NALI
CAON
IPAVEZ
BONESSO
FINESSO
KRAVINA
SALSO
COIS
FAYENZ
MRAKIC
SPIZZO
ARLINA
MISCHIS
FLORIT
ADDO
RET
ELIS
GANNA
ARMIDO
MISCORIA
LEVAN
MAZON
VRECH
RILLA
NOLLI
BAIANA
POLAME
CIOT
SALIGOI
GEISSA
GRILZ
DAMO
LIMINA
FELCARO
MEO
PETANS
ZABAN
STURMA
PLEF
DUS
VILVA
ANZIT
LYDA
CRICCO
BUSO
SOSSA
SUTTO
MAI
GEOTTI
VELDA
SULLI
CATI
MURRU
DEVOS
NARDA
FRANZE
TOPRAN
LIANO
CABRAS
BESA
FADALTI
RANU
CODEN
TADDIO
COMA
PARTE
BAIS
TEL
VAL
PAUSSA
IEREP
LIBARDI
NASSIVERA
MACHIN
RODDARO
ROVIS
SIBEN
ZOTTO
VALLY
STURM
LIZIO
FONZAR
BORTOT
EDIA
NAIDON
VALES
MASAU
PHOAR
STELL
DIRACCA
PLET
OIAN
